ticker,name,sector,sub_industry,ai_density_2021,mda_length,note
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,0.2203,494232, full_text_fallback
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,0.0,688613, full_text_fallback
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,0.0,1408730, full_text_fallback
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,0.0746,589629, full_text_fallback
LHX,L3Harris,Industrials,Aerospace & Defense,0.0,731728, full_text_fallback
LH,Labcorp,Health Care,Health Care Services,0.057,556873, full_text_fallback
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,0.0837,409263, full_text_fallback
LDOS,Leidos,Industrials,Diversified Support Services,0.0325,512173, full_text_fallback
LII,Lennox International,Industrials,Building Products,0.0,382137, full_text_fallback
LLY,Lilly (Eli),Health Care,Pharmaceuticals,0.0,484052, full_text_fallback
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,0.0,493528, full_text_fallback
LMT,Lockheed Martin,Industrials,Aerospace & Defense,0.0146,533362, full_text_fallback
L,Loews Corporation,Financials,Multi-line Insurance,0.0,642093, full_text_fallback
LITE,Lumentum,Information Technology,Communications Equipment,0.0308,531614, full_text_fallback
MTB,M&T Bank,Financials,Regional Banks,0.0,640726, full_text_fallback
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,0.0,706068, full_text_fallback
MRSH,Marsh McLennan,Financials,Insurance Brokers,0.0435,555384, full_text_fallback
MAS,Masco,Industrials,Building Products,0.0,326890, full_text_fallback
MA,Mastercard,Financials,Transaction & Payment Processing Services,0.194,516445, full_text_fallback
MCK,McKesson Corporation,Health Care,Health Care Distributors,0.0,603190, full_text_fallback
MDT,Medtronic,Health Care,Health Care Equipment,0.0768,550071, full_text_fallback
MRK,Merck & Co.,Health Care,Pharmaceuticals,0.0,678726, full_text_fallback
META,Meta Platforms,Communication Services,Interactive Media & Services,0.1927,488767, full_text_fallback
MET,MetLife,Financials,Life & Health Insurance,0.0,781049, full_text_fallback
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,0.0,338039, full_text_fallback
MCHP,Microchip Technology,Information Technology,Semiconductors,0.0357,473260, full_text_fallback
MU,Micron Technology,Information Technology,Semiconductors,0.1563,358638, full_text_fallback
